Employee Code,Employee Name,Trade,Org,Qualification,Qualification Start,Expiration,Temp Disqualified,Qualification Desc,Class
EMP_0014,Employee EMP_0014,RT,ATR,CHAS.3.WE.C.S,2020-03-19 00:00:00.0,2022-03-19 00:00:00.0,-,CHASSTA GRANNY THE RIDE: Weekly Electrical Car - Skilled,SKILL
EMP_0015,Employee EMP_0015,EL,ATR,PPAT.2.DE.S,2023-05-23 00:00:00.0,2024-05-23 00:00:00.0,-,POSTMAN PAT: Daily Electrical Ride - Skilled,SKILL
EMP_0014,Employee EMP_0014,RT,ATR,SPIN.2.DM.C.S,2024-04-07 00:00:00.0,2025-04-07 00:00:00.0,-,SPINFIRE: Daily Mechanical Car - Skilled,SKILL
EMP_0015,Employee EMP_0015,EL,ATR,PPAT.2.DM.S,2023-05-23 00:00:00.0,2024-05-23 00:00:00.0,-,POSTMAN PAT: Daily Mechanical Ride - Skilled,SKILL
ENG_M1_05,Employee ENG_M1_05,RT,ATR,CHAS.3.WE.C.S,2020-03-19 00:00:00.0,2022-03-19 00:00:00.0,-,CHASSTA GRANNY THE RIDE: Weekly Electrical Car - Skilled,SKILL
ENG_M1_05,Employee ENG_M1_05,RT,ATR,CHAS.4.MM.R.S,2020-03-19 00:00:00.0,2022-03-19 00:00:00.0,-,CHASSTA GRANNY THE RIDE: Monthly Mechanical Ride - Skilled,SKILL
EMP_0015,Employee EMP_0015,EL,ATR,DRMS.2.DM.S,2023-05-23 00:00:00.0,2024-05-23 00:00:00.0,-,DRMS: Daily Mechanical Ride - Skilled,SKILL
EMP_0014,Employee EMP_0014,RT,ATR,SPIN.2.DM.R.S,2024-06-23 00:00:00.0,2025-06-23 00:00:00.0,-,SPINFIRE: Daily Mechanical Ride - Skilled,SKILL
EMP_0015,Employee EMP_0015,EL,ATR,ATDG.2.DM.S,2023-02-10 00:00:00.0,2024-02-10 00:00:00.0,-,The Apex Thrill Park Dungeon: Daily Mechanical Ride - Skilled,SKILL
EMP_0014,Employee EMP_0014,RT,ATR,SPIN.4.MM.C.S,2019-09-07 00:00:00.0,2020-09-07 00:00:00.0,-,SPINFIRE: Monthly Mechnical Car - Skilled,SKILL
ENG_M1_05,Employee ENG_M1_05,RT,ATR,CHAS.4.MM.C.S,2020-03-19 00:00:00.0,2022-03-19 00:00:00.0,-,CHASSTA GRANNY THE RIDE: Monthly Mechanical Car - Skilled,SKILL
ENG_M1_05,Employee ENG_M1_05,RT,ATR,CHAS.4.ME.R.S,2020-03-19 00:00:00.0,2022-03-19 00:00:00.0,-,CHASSTA GRANNY THE RIDE: Monthly Electrical Ride - Skilled,SKILL
ENG_M1_05,Employee ENG_M1_05,RT,ATR,CHAS.4.ME.C.S,2020-03-19 00:00:00.0,2022-03-19 00:00:00.0,-,CHASSTA GRANNY THE RIDE: Monthly Electrical Car - Skilled,SKILL
ENG_M2_04,Employee ENG_M2_04,EL,ATR,CRSR.5.S,2025-08-11 00:00:00.0,2027-08-11 00:00:00.0,-,CORSAIR: Reactive - Skilled,SKILL
ENG_E1_10,Employee ENG_E1_10,EL,ATR,TWST.3.WM.GNI.S,2021-12-12 00:00:00.0,2026-12-12 00:00:00.0,-,TWISTER: Weekly Mechanical Genie - Skilled,SKILL
EMP_0016,Employee EMP_0016,EL,ATR,NOVA.5.S,2024-07-28 00:00:00.0,2026-01-28 00:00:00.0,-,NOVACTICA: Reactive - Skilled,SKILL
EMP_0017,Employee EMP_0017,EL,ATR,INFR.2.DE.R.S,2023-04-19 00:00:00.0,2024-04-19 00:00:00.0,-,INFRERMAN: Daily Electrical Ride - Skilled,SKILL
ENG_M1_07,Employee ENG_M1_07,RT,ATR,PPAT.4.MM.V.S,2025-03-26 00:00:00.0,2028-03-26 00:00:00.0,-,POSTMAN PAT: Monthly Mechanical Vans - Skilled,SKILL
EMP_0006,Employee EMP_0006,EL,ATR,BLTZ.4.ME.T.S,2024-06-29 00:00:00.0,2025-06-29 00:00:00.0,-,BLTZ: Monthly Electrical Train,SKILL
EMP_0010,Employee EMP_0010,EL,ATR,TWST.BRC,2023-04-22 00:00:00.0,2026-04-22 00:00:00.0,-,Twister: Block Reset Controller,SKILL
ENG_M1_10,Employee ENG_M1_10,RT,ATR,TWST.4.MM.R.S,2025-05-12 00:00:00.0,2026-05-12 00:00:00.0,-,TWISTER: Monthly Mechanical Ride - Skilled,SKILL
EMP_0017,Employee EMP_0017,EL,ATR,PA.5.S,2022-12-28 00:00:00.0,2023-12-28 00:00:00.0,-,PA: Fault Reactive - Skilled,SKILL
ENG_E1_06,Employee ENG_E1_06,EL,ATR,PA.5.S,2024-07-19 00:00:00.0,2027-07-19 00:00:00.0,-,PA: Fault Reactive - Skilled,SKILL
ENG_A_01,Employee ENG_A_01,RT,ATR,CCTV.5.S,2023-05-03 00:00:00.0,2026-05-03 00:00:00.0,-,CCTV: Reactive - Skilled,SKILL
ENG_M1_08,Employee ENG_M1_08,RT,ATR,SPIN.5.S,2025-08-11 00:00:00.0,2027-02-11 00:00:00.0,-,SPINFIRE: Reactive - Skilled,SKILL
ENG_A_04,Employee ENG_A_04,RT,ATR,APEX.2.DM.R.S,2025-08-24 00:00:00.0,2027-08-24 00:00:00.0,-,APEX DROP: Daily Mechanical Ride - Skilled,SKILL
ENG_A_04,Employee ENG_A_04,RT,ATR,APEX.3.WM.T.S,2025-08-25 00:00:00.0,2026-08-25 00:00:00.0,-,APEX DROP: Weekly Mechanical Train - Skilled,SKILL
EMP_0018,Employee EMP_0018,FT,ATR,WPARK.2.HOT,2025-08-24 00:00:00.0,2027-08-24 00:00:00.0,-,HOTEL TECHNICIAN: Waterpark Daily Checks - Skilled,SKILL
EMP_0008,Employee EMP_0008,RT,ATR,RACE.2.DE.S,2025-03-18 00:00:00.0,2027-03-18 00:00:00.0,-,RACEWAY: Daily Electrical Ride - Skilled,SKILL
EMP_0019,Employee EMP_0019,RT,ATR,DUEX.1.S,2024-04-18 00:00:00.0,2034-04-18 00:00:00.0,-,DUEX: General Ride/Attraction Operations - Skilled,SKILL
EMP_0012,Employee EMP_0012,RT,ATR,AQUA.6.AM.R.S,2024-04-24 00:00:00.0,2027-04-24 00:00:00.0,-,AQUANAUTS: Annual Mechanical (Winter) Ride Maintenance -Skill,SKILL
ENG_M2_15,Employee ENG_M2_15,RT,ATR,AQUA.2.DE.R.S,2025-08-20 00:00:00.0,2027-08-20 00:00:00.0,-,AQUANAUTS: Daily Electrical Ride - Skilled,SKILL
ENG_E1_06,Employee ENG_E1_06,EL,ATR,CCTV.5.S,2025-08-18 00:00:00.0,2028-08-18 00:00:00.0,-,CCTV: Reactive - Skilled,SKILL
ENG_M2_091,Employee ENG_M2_091,RT,ATR,SPIN.3.WM.C.S,2022-12-31 00:00:00.0,2023-12-31 00:00:00.0,+,SPINFIRE: Weekly Mechanical Car - Skilled,SKILL
ENG_M2_15,Employee ENG_M2_15,RT,ATR,AQUA.2.DE.T.S,2025-08-18 00:00:00.0,2027-08-18 00:00:00.0,-,AQUANAUTS: Daily Electrical Train - Skilled,SKILL
ENG_A_03,Employee ENG_A_03,RT,ATR,DEEP.5.S,2025-07-09 00:00:00.0,2027-01-09 00:00:00.0,-,DESCENT: Reactive - Skilled,SKILL
ENG_M1_02,Employee ENG_M1_02,RT,ATR,VRGE.3.WM.S,2025-08-02 00:00:00.0,2027-08-02 00:00:00.0,-,VERTIGO: Weekly Mechanical Ride - Skilled,SKILL
ENG_M2_04,Employee ENG_M2_04,EL,ATR,PPAT.1.S,2023-03-02 00:00:00.0,2033-03-02 00:00:00.0,-,POSTMAN PAT: General Ride/Attraction Operations - Skilled,SKILL
ENG_M2_04,Employee ENG_M2_04,EL,ATR,PPAT.2.DE.S,2024-07-18 00:00:00.0,2027-07-18 00:00:00.0,-,POSTMAN PAT: Daily Electrical Ride - Skilled,SKILL
ENG_M2_04,Employee ENG_M2_04,EL,ATR,PPAT.2.DM.S,2024-07-18 00:00:00.0,2027-07-18 00:00:00.0,-,POSTMAN PAT: Daily Mechanical Ride - Skilled,SKILL
EMP_0020,Employee EMP_0020,FT,ATR,WPARK.2.HOT,2025-08-24 00:00:00.0,2027-08-24 00:00:00.0,-,HOTEL TECHNICIAN: Waterpark Daily Checks - Skilled,SKILL
EMP_0007,Employee EMP_0007,EL,ATR,CUPS.2.DM.S,2025-04-26 00:00:00.0,2028-04-26 00:00:00.0,-,Bugbie Go Round: Daily Mechanical Ride - Skilled,SKILL
EMP_0007,Employee EMP_0007,EL,ATR,APEX.2.DE.T.S,2025-07-14 00:00:00.0,2026-07-14 00:00:00.0,-,APEX DROP: Daily Electrical Shuttle - Skilled,SKILL
EMP_0007,Employee EMP_0007,EL,ATR,APEX.3.WE.T.S,2023-06-22 00:00:00.0,2024-06-22 00:00:00.0,-,APEX DROP: Weekly Electrical Train - Skilled,SKILL
EMP_0007,Employee EMP_0007,EL,ATR,TWST.3.WE.R.S,2025-07-11 00:00:00.0,2026-07-11 00:00:00.0,-,TWISTER: Weekly Electrical Ride - Skilled,SKILL
EMP_0007,Employee EMP_0007,EL,ATR,TWST.3.WE.T.S,2023-05-22 00:00:00.0,2024-05-22 00:00:00.0,-,TWISTER: Weekly Electrical Train - Skilled,SKILL
EMP_0007,Employee EMP_0007,EL,ATR,SPIN.2.DE.C.S,2025-07-27 00:00:00.0,2026-07-27 00:00:00.0,-,SPINFIRE: Daily Electrical Car - Skilled,SKILL
EMP_0007,Employee EMP_0007,EL,ATR,SPIN.2.DE.R.S,2025-07-27 00:00:00.0,2026-07-27 00:00:00.0,-,SPINFIRE: Daily Electrical Ride - Skilled,SKILL
ENG_M1_05,Employee ENG_M1_05,RT,ATR,KART.2.DM.S,2025-08-24 00:00:00.0,2028-08-24 00:00:00.0,-,GO KARTS: Daily Mechanical Ride - Skilled,SKILL
ENG_M1_05,Employee ENG_M1_05,RT,ATR,KART.4.MM.C.S,2023-04-29 00:00:00.0,2026-04-29 00:00:00.0,-,GO KARTS: Monthly Mechanical Cars - Skilled,SKILL
EMP_0014,Employee EMP_0014,RT,ATR,KART.2.DM.S,2024-07-28 00:00:00.0,2027-07-28 00:00:00.0,-,GO KARTS: Daily Mechanical Ride - Skilled,SKILL
EMP_0014,Employee EMP_0014,RT,ATR,APEX.2.DM.T.S,2020-10-14 00:00:00.0,2021-10-14 00:00:00.0,-,APEX DROP: Daily Mechanical Shuttle - Skilled,SKILL
EMP_0014,Employee EMP_0014,RT,ATR,PPAT.2.DM.S,2020-08-29 00:00:00.0,2023-08-29 00:00:00.0,-,POSTMAN PAT: Daily Mechanical Ride - Skilled,SKILL
EMP_0014,Employee EMP_0014,RT,ATR,BNCE.2.DM.S,2024-07-28 00:00:00.0,2027-07-28 00:00:00.0,-,Characters Bounce: Daily Mechanical Ride,SKILL
EMP_0014,Employee EMP_0014,RT,ATR,BNCE.5.S,2021-08-09 00:00:00.0,2024-08-09 00:00:00.0,-,Characters Bounce: Reactive - Skilled,SKILL
ENG_A_01,Employee ENG_A_01,RT,ATR,JUMP.2.DM.S,2025-03-22 00:00:00.0,2028-03-22 00:00:00.0,-,Raj's Bouncy Bottom Burp: Daily Mechanical Ride - Skilled,SKILL
ENG_M1_09,Employee ENG_M1_09,RT,ATR,CRSL.2.DM.S,2025-07-05 00:00:00.0,2028-07-05 00:00:00.0,-,ROYAL CAROUSEL: Daily Mechanical Ride - Skilled,SKILL
EMP_0021,Employee EMP_0021,EL,ATR,SWNG.5.S,2025-08-02 00:00:00.0,2028-08-02 00:00:00.0,-,SWINGSHIP: Reactive - Skilled,SKILL
ENG_M1_09,Employee ENG_M1_09,RT,ATR,CRSL.5.S,2025-08-25 00:00:00.0,2028-08-25 00:00:00.0,-,ROYAL CAROUSEL: Reactive - Skilled,SKILL
ENG_E2_04,Employee ENG_E2_04,RT,ATR,INFR.3.WM.R.S,2025-08-11 00:00:00.0,2026-08-11 00:00:00.0,-,INFRERMAN: Weekly Mechanical Ride - Skilled,SKILL
ENG_M1_09,Employee ENG_M1_09,RT,ATR,JUMP.5.S,2025-03-31 00:00:00.0,2028-03-31 00:00:00.0,-,Raj's Bouncy Bottom Burp: Reactive - Skilled,SKILL
ENG_M1_10,Employee ENG_M1_10,RT,ATR,TWST.3.WM.R.S,2025-08-20 00:00:00.0,2026-08-20 00:00:00.0,-,TWISTER: Weekly Mechanical Ride - Skilled,SKILL
ENG_M1_09,Employee ENG_M1_09,RT,ATR,BLTZ.4.MM.R.S,2025-05-30 00:00:00.0,2026-05-30 00:00:00.0,-,BLTZ: Monthly Mechanical Ride - Skilled,SKILL
ENG_M1_13,Employee ENG_M1_13,RT,ATR,TWST.1.S,2024-04-25 00:00:00.0,2034-04-25 00:00:00.0,-,TWISTER: General Ride/Attraction Operations - Skilled,SKILL
ENG_M1_13,Employee ENG_M1_13,RT,ATR,TWST.2.DM.R.S,2025-08-24 00:00:00.0,2026-08-24 00:00:00.0,-,TWISTER: Daily Mechanical Ride - Skilled,SKILL
ENG_M2_12,Employee ENG_M2_12,RT,ATR,INFR.3.WM.STRC.S,2025-07-31 00:00:00.0,2026-07-31 00:00:00.0,-,INFRERMAN: Weekly Mechanical Structure - Skilled,SKILL
ENG_M1_05,Employee ENG_M1_05,RT,ATR,SPIN.3.WM.R.S,2025-08-20 00:00:00.0,2026-08-20 00:00:00.0,-,SPINFIRE: Weekly Mechanical Ride - Skilled,SKILL
EMP_0012,Employee EMP_0012,RT,ATR,FURY.1.S,2024-04-24 00:00:00.0,2025-02-24 00:00:00.0,-,FURYSIS: General Ride/Attraction Operations - Skilled,SKILL
EMP_0022,Employee EMP_0022,EL,ATR,CCTV.5.S,2025-07-29 00:00:00.0,2027-07-29 00:00:00.0,-,CCTV: Reactive - Skilled,SKILL
ENG_E2_02,Employee ENG_E2_02,RT,ATR,RPDS.5.S,2025-08-04 00:00:00.0,2027-08-04 00:00:00.0,-,RIVER RAPIDS: Reactive - Skilled,SKILL
ENG_A_09,Employee ENG_A_09,RT,ATR,INFR.2.DM.GASB.S,2025-07-14 00:00:00.0,2026-07-14 00:00:00.0,-,INFRERMAN: Daily Mechanical Gas Burner - Skilled,SKILL
ENG_M2_12,Employee ENG_M2_12,RT,ATR,RPDS.1.S,2024-04-25 00:00:00.0,2034-04-25 00:00:00.0,-,RIVER RAPIDS: General Ride/Attraction Operations - Skilled,SKILL
ENG_M2_12,Employee ENG_M2_12,RT,ATR,INFR.2.DM.GASB.S,2025-08-10 00:00:00.0,2026-08-10 00:00:00.0,-,INFRERMAN: Daily Mechanical Gas Burner - Skilled,SKILL
EMP_0005,Employee EMP_0005,RT,ATR,TRNS.3.WM.R.S,2025-06-03 00:00:00.0,2027-06-03 00:00:00.0,-,TRNSRAIL: Weekly Mechanical Ride - Skilled,SKILL
ENG_M1_14,Employee ENG_M1_14,RT,ATR,ATDG.2.DM.S,2024-07-25 00:00:00.0,2027-07-25 00:00:00.0,-,The Apex Thrill Park Dungeon: Daily Mechanical Ride - Skilled,SKILL
ENG_M1_14,Employee ENG_M1_14,RT,ATR,PPAT.2.DM.S,2024-12-18 00:00:00.0,2027-12-18 00:00:00.0,-,POSTMAN PAT: Daily Mechanical Ride - Skilled,SKILL
ENG_M1_14,Employee ENG_M1_14,RT,ATR,PPAT.2.DE.S,2024-12-18 00:00:00.0,2027-12-18 00:00:00.0,-,POSTMAN PAT: Daily Electrical Ride - Skilled,SKILL
ENG_M2_10,Employee ENG_M2_10,RT,ATR,FURY.4.MM.T.S,2025-07-29 00:00:00.0,2026-07-29 00:00:00.0,-,FURYSIS: Mechanical Train Monthly - Skilled,SKILL
ENG_M2_19,Employee ENG_M2_19,RT,ATR,RPDS.3.WM.R.S,2025-05-12 00:00:00.0,2027-05-12 00:00:00.0,-,RIVER RAPIDS: Weekly Mechanical Ride - Skilled,SKILL
ENG_E2_02,Employee ENG_E2_02,RT,ATR,NOVA.1.S,2024-05-20 00:00:00.0,2034-05-20 00:00:00.0,-,NOVACTICA: General Ride/Attraction Operations - Skilled,SKILL
ENG_E2_02,Employee ENG_E2_02,RT,ATR,INFR.5.S,2025-08-22 00:00:00.0,2027-02-22 00:00:00.0,-,INFRERMAN: Reactive - Skilled,SKILL
EMP_0023,Employee EMP_0023,EL,ATR,INFR.2.DE.GASB.S,2025-07-05 00:00:00.0,2026-07-05 00:00:00.0,-,INFRERMAN: Daily Electrical Gas Burner & Koolfog - Skilled,SKILL
EMP_0019,Employee EMP_0019,RT,ATR,NOVA.3.WM.T.S,2024-07-01 00:00:00.0,2026-01-01 00:00:00.0,+,NOVACTICA: 3 Weekly Mechanical Train - Skilled,SKILL
ENG_E1_01,Employee ENG_E1_01,EL,ATR,JUMP.3.WE.S,2023-01-01 00:00:00.0,2024-01-01 00:00:00.0,-,Raj's Bouncy Bottom Burp: Weekly Electrical Ride- Skilled,SKILL
EMP_0004,Employee EMP_0004,EL,ATR,CRSR.5.S,2024-06-06 00:00:00.0,2026-06-06 00:00:00.0,-,CORSAIR: Reactive - Skilled,SKILL
ENG_A_07,Employee ENG_A_07,RT,ATR,APEX.1.S,2024-08-06 00:00:00.0,2034-08-06 00:00:00.0,-,APEX DROP: General Ride/Attraction Operations - Skilled,SKILL
ENG_A_07,Employee ENG_A_07,RT,ATR,APEX.2.DM.R.S,2025-08-04 00:00:00.0,2026-08-04 00:00:00.0,-,APEX DROP: Daily Mechanical Ride - Skilled,SKILL
EMP_0024,Employee EMP_0024,RT,ATR,TRNS.2.DM.R.S,2023-04-12 00:00:00.0,2024-04-12 00:00:00.0,-,TRNSRAIL: Daily Mechanical Ride - Skilled,SKILL
EMP_0024,Employee EMP_0024,RT,ATR,TRNS.2.DM.T.S,2023-04-12 00:00:00.0,2024-04-12 00:00:00.0,-,TRNSRAIL: Daily Mechanical Train - Skilled,SKILL
ENG_A_07,Employee ENG_A_07,RT,ATR,APEX.2.DM.T.S,2025-08-24 00:00:00.0,2026-08-24 00:00:00.0,-,APEX DROP: Daily Mechanical Shuttle - Skilled,SKILL
ENG_M2_10,Employee ENG_M2_10,RT,ATR,MINE.3.WM.T.S,2025-07-23 00:00:00.0,2027-07-23 00:00:00.0,-,RMT: Weekly Mechanical Train - Skilled,SKILL
ENG_M2_10,Employee ENG_M2_10,RT,ATR,MINE.3.WM.R.S,2025-07-23 00:00:00.0,2027-07-23 00:00:00.0,-,RMT: Weekly Mechanical Ride - Skilled,SKILL
EMP_0025,Employee EMP_0025,RT,ATR,TWST.3.WM.T.S,2024-10-07 00:00:00.0,2025-10-07 00:00:00.0,-,TWISTER: Weekly Mechanical Train - Skilled,SKILL
ENG_M1_03,Employee ENG_M1_03,RT,ATR,APEX.4.3MM.SPRG.S,2024-09-10 00:00:00.0,2025-09-10 00:00:00.0,-,APEX DROP: SPRAG 3 Monthly Mechanical Ride - Skilled,SKILL
ENG_M2_091,Employee ENG_M2_091,RT,ATR,BNCE.2.DM.S,2023-04-02 00:00:00.0,2024-04-02 00:00:00.0,+,Characters Bounce: Daily Mechanical Ride,SKILL
ENG_M1_14,Employee ENG_M1_14,RT,ATR,TWST.2.DM.T.S,2025-08-23 00:00:00.0,2026-08-23 00:00:00.0,-,TWISTER: Daily Mechanical Train - Skilled,SKILL
ENG_E1_05,Employee ENG_E1_05,EL,ATR,BLTZ.5.S,2025-08-23 00:00:00.0,2027-02-23 00:00:00.0,-,BLTZ: Reactive - Skilled,SKILL
EMP_0026,Employee EMP_0026,EL,ATR,KART.5.S,2023-09-04 00:00:00.0,2026-09-04 00:00:00.0,-,GO KARTS: Reactive - Skilled,SKILL
EMP_0026,Employee EMP_0026,EL,ATR,HERO.5.S,2024-05-10 00:00:00.0,2027-05-10 00:00:00.0,-,JUSTINS HOUSE: Reactive - Skilled,SKILL
ENG_A_09,Employee ENG_A_09,RT,ATR,RPDS.4.MM.R.S,2023-09-09 00:00:00.0,2025-09-09 00:00:00.0,-,RIVER RAPIDS: Monthly Mechanical Ride - Skilled,SKILL
ENG_A_09,Employee ENG_A_09,RT,ATR,RPDS.3.WM.R.S,2024-08-13 00:00:00.0,2026-08-13 00:00:00.0,-,RIVER RAPIDS: Weekly Mechanical Ride - Skilled,SKILL
ENG_A_09,Employee ENG_A_09,RT,ATR,SPIN.2.DM.C.S,2025-04-12 00:00:00.0,2026-04-12 00:00:00.0,-,SPINFIRE: Daily Mechanical Car - Skilled,SKILL
ENG_A_09,Employee ENG_A_09,RT,ATR,SPIN.3.WM.C.S,2024-11-07 00:00:00.0,2025-11-07 00:00:00.0,-,SPINFIRE: Weekly Mechanical Car - Skilled,SKILL
ENG_M2_06,Employee ENG_M2_06,EL,ATR,RPDS.1.S,2023-09-12 00:00:00.0,2033-09-12 00:00:00.0,-,RIVER RAPIDS: General Ride/Attraction Operations - Skilled,SKILL
ENG_M2_06,Employee ENG_M2_06,EL,ATR,RPDS.2.DE.R.S,2025-08-25 00:00:00.0,2027-08-25 00:00:00.0,-,RIVER RAPIDS: Daily Electrical Ride - Skilled,SKILL
